"All ages","0-14","15-54","55-64","65+","55+","<55","15-24","25-54","vx"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297893","11.0663346761646","baseline"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297893","11.0663346761646","PPI _ 0 _ 0 _ 2"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297893","11.0663346761646","PPI _ 0 _ 0 _ 3"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 5"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529276","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 7"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 10"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 15"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297893","11.0663346761646","PPI _ 0 _ 0 _ 20"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 25"
"30.2310718993897","0.476199562177068","9.93252481497039","28.2223073752692","85.3984969529277","66.571543215696","7.45260565505091","6.09432236297892","11.0663346761646","PPI _ 0 _ 0 _ 100"
"28.7860460701099","0.39141906512571","8.68824265376684","26.5389246334293","82.8672703614597","64.3200064505398","6.5124072276685","5.283301893079","9.69406381686372","PPI _ 0 _ 0.5 _ 2"
"28.0592242549119","0.349974945104896","8.0539501820766","25.7231318762036","81.5931522068177","63.1970341807741","6.03359050642492","4.85628091365973","8.99854223057806","PPI _ 0 _ 0.5 _ 3"
"22.0300287869107","0.274513187042241","5.67277619518559","20.0186451128643","65.288134930431","50.3827496493266","4.25708913336709","3.51720975015793","6.30952977449466","PPI _ 0 _ 0.5 _ 5"
"17.0497189861792","0.248772073121932","4.23719284934403","15.3254996626008","50.8557411623657","39.1573241810895","3.19123602714467","2.85450939861384","4.64563651357307","PPI _ 0 _ 0.5 _ 7"
"16.3855050223121","0.211777511019738","3.72163468289452","14.6276326533646","49.5545577850128","38.0551041909313","2.80118132951949","2.57111445738413","4.06149703795679","PPI _ 0 _ 0.5 _ 10"
"16.511793775135","0.212237027649124","3.92869265949651","14.6562920629994","49.665547411969","38.1389847425157","2.9540593274867","1.85549399768363","4.54111312364281","PPI _ 0 _ 0.5 _ 15"
"16.3338068936707","0.210614875437388","3.61611380929941","14.6033427713518","49.5523493199513","38.045620387141","2.72302830506359","1.66302759410627","4.1930531501819","PPI _ 0 _ 0.5 _ 20"
"16.3054245574136","0.208527636909332","3.45509614613053","14.6982499476042","49.6797708676247","38.1623348353568","2.60368983080685","1.78287634129717","3.94906787362077","PPI _ 0 _ 0.5 _ 25"
"16.4306629012412","0.211912849064946","3.53986419840095","14.8144472554279","49.9564501699234","38.386176494892","2.6671153905853","1.89851061277996","4.02471808170507","PPI _ 0 _ 0.5 _ 100"
"27.4566124537954","0.318451627650113","7.56451800787565","25.0086727273059","80.4894217937288","62.2217326435699","5.66424649725689","4.54978818973373","8.45506854839752","PPI _ 0 _ 1 _ 2"
"26.1489632745349","0.250181676724706","6.44986587302791","23.5685302463846","78.1331045004576","60.167510582878","4.82400912804415","3.79651072483432","7.23366496186356","PPI _ 0 _ 1 _ 3"
"15.4874446077721","0.140479174510945","2.92363216664439","13.7891545348635","47.93552141065","36.6931712203582","2.19375652725264","1.80651245155705","3.25362757138601","PPI _ 0 _ 1 _ 5"
"7.02934227347406","0.110064705682444","1.2610596377014","6.10941343716425","21.9157539283823","16.7118635784662","0.95921420912067","1.0731792410964","1.31655910969382","PPI _ 0 _ 1 _ 7"
"6.5252254768777","0.0678090684182766","0.907393966519328","5.64842576204627","20.8373770348987","15.8369966769723","0.687215263984866","0.771469068257404","0.947545833415416","PPI _ 0 _ 1 _ 10"
"6.68016077038965","0.0685152396926804","1.08862415062729","5.70269318795696","21.0917800613706","16.0255095818388","0.821103564299453","0.216239861871003","1.3463242239804","PPI _ 0 _ 1 _ 15"
"6.5031661426449","0.0680831721945798","0.850791535425115","5.64873050251598","20.8510457823513","15.8462589189311","0.645528553853749","0.0764557937535614","1.07952831049594","PPI _ 0 _ 1 _ 20"
"6.63640610242571","0.067976733193754","0.764099795301619","5.89455790366843","21.3980112181853","16.2940835209702","0.581543553303165","0.169054337976829","0.939874683556688","PPI _ 0 _ 1 _ 25"
"6.92250035704935","0.0708216182729355","0.877125498731134","6.18413570845716","22.1626326230804","16.9023147243546","0.665674658588718","0.26419726735104","1.0581829121657","PPI _ 0 _ 1 _ 100"
"29.4805293606224","0.427192502317572","9.29459021942998","27.1861006688948","84.1523284773542","65.3946328279906","6.96912069749258","5.71742906895405","10.3512861236376","PPI _ 0.5 _ 0 _ 2"
"29.121381686935","0.403617078113477","8.97625751515094","26.700316758367","83.5741213025289","64.8469125671252","6.72808931766783","5.52212136159467","9.99661090913876","PPI _ 0.5 _ 0 _ 3"
