"All ages","0-14","15-54","55-64","65+","15-59","60+","55+","<55","15-24","25-54"
0.255583128611014,0.00582686174749144,0.00662815457867073,0.0513280866414457,0.94830395356372,0.00938205518672611,0.755726092922886,0.653008455772379,0.00641801783048416,0.00141063427283016,0.00816939660800091
0.896253406245989,0.014692017514036,0.115757783875572,0.387466514131044,3.06441751724225,0.133295099323473,2.49812974451913,2.18296151579668,0.0892590944037923,0.0404145632928729,0.138005781590588
0.896253406245989,0.014692017514036,0.115757783875572,0.387466514131044,3.06441751724225,0.133295099323473,2.49812974451913,2.18296151579668,0.0892590944037922,0.0404145632928729,0.138005781590588
0.896253406245989,0.014692017514036,0.115757783875572,0.387466514131044,3.06441751724225,0.133295099323473,2.49812974451913,2.18296151579668,0.0892590944037923,0.0404145632928729,0.138005781590588
0.629565484001018,0.0104962841183207,0.0666701985801719,0.252607929382801,2.18760455774838,0.078215750364314,1.77830362734184,1.55049147941837,0.0519419152909203,0.0212712186440499,0.0800758677562566
0.510418733798108,0.00784149384193184,0.0472282926667019,0.201352238723916,1.78758636095364,0.0569433627440852,1.4519697940522,1.2653276428376,0.0369014698577367,0.0141276391068292,0.0570023935808288
0.514957377533424,0.00785206529925234,0.0452351435824975,0.204852528454026,1.80691292561895,0.055441216536655,1.46799663195638,1.27944305162346,0.0354336779292369,0.0137770122919835,0.0545242303950582
0.404382174729495,0.00724070987775676,0.0342810425751983,0.147578598726653,1.4269291524974,0.0408624296352647,1.15635129473267,1.0057139768991,0.0271913520642487,0.00926101824832804,0.0416690411765428
0.216384544054941,0.00323608314863348,0.0135376681455038,0.0789426477412347,0.772320243676666,0.0175922987684288,0.62559864711126,0.544048547906286,0.0108367122555179,0.0028128221842505,0.0167045171792945
0.231630504407627,0.00338191842789194,0.0129497091006577,0.0886446511219821,0.827461385931221,0.0178355296790975,0.671248951682116,0.584229773810752,0.0104411458084647,0.0026475976786225,0.0159917318123765
0.815529116426,0.0127168807318247,0.0826446244916257,0.332308093639727,2.83850202008683,0.098505268551291,2.30842178308014,2.01328273041329,0.064310178875427,0.0262624254500045,0.0992935266651316
0.776093471207699,0.0116225971602554,0.0695668220602361,0.305390784118736,2.72276401689329,0.0843905028943951,2.21137887288585,1.92679784817581,0.0543743888316556,0.0213170701174975,0.083814265244705
0.773968053203939,0.0115279581792871,0.0658275149983942,0.304661459090457,2.72151843329829,0.0809828759272319,2.2102344690587,1.92572226882117,0.0515906837823067,0.0206232792504315,0.0791756547642924
0.600406695672283,0.00977398235809112,0.0550558131683491,0.233213203915852,2.10514664184286,0.0660190288997871,1.7092194168263,1.48880074924227,0.0431833564296385,0.0163844724779406,0.0664748732079497
0.477275428811478,0.00698809612920118,0.0351344615386698,0.179591990702193,1.69180357461488,0.0441163181306837,1.37187191088472,1.19391983123237,0.0277547850942442,0.00938137742465234,0.0427389122522699
0.482597200674518,0.00699731270237762,0.0326776697120697,0.183987147143459,1.71453367448902,0.0422758974456437,1.39078695928165,1.21061280864989,0.0259445558681875,0.00894641760358059,0.0396851045539153
0.403724381782877,0.0072237118084838,0.0340247776426733,0.146899103390466,1.42517841845349,0.0405772936595312,1.15480869795924,1.00431596833605,0.0269978205819078,0.00921296959119356,0.0413512930815466
0.215917607511908,0.00322719346082538,0.0133550669268558,0.0784321952463123,0.771090671917869,0.0173840477514179,0.624511170180004,0.543055730298662,0.0106996562144678,0.00279698145475986,0.0164726745999097
0.231630504407627,0.00338191842789194,0.0129497091006577,0.0886446511219821,0.827461385931221,0.0178355296790975,0.671248951682116,0.584229773810752,0.0104411458084647,0.0026475976786225,0.0159917318123765
0.74676924316062,0.0110825842842975,0.0562054774016892,0.287355755914306,2.64194928953318,0.0706599987053883,2.14406236046165,1.86665667379957,0.044374695796077,0.0151514194926607,0.0683281102468215
0.684083591794729,0.00938052593281094,0.0377126953233475,0.247164006351733,2.4526562130099,0.050542070444789,1.98622764733339,1.72646909962185,0.0302843073705034,0.00856658388058335,0.0463190383667696
0.681004311401361,0.00924091140426232,0.0320975536953252,0.246509858359238,2.45100225419141,0.0454682859587428,1.98478112483354,1.72514437431041,0.0261047924021489,0.00770037445514015,0.0393016129334868
0.573469368259408,0.00911695527259011,0.044692528384992,0.215712771693448,2.02811813005743,0.0551218395118993,1.64482480648294,1.43137511819285,0.0353649746316769,0.0120663671267312,0.0543265123744302
0.448247743297091,0.00626001291800602,0.0251305251402653,0.161298242308391,1.6064969692941,0.0334830494811011,1.3007881196573,1.13067973688381,0.0201828887986791,0.0055249387862026,0.0309197042129061
0.454284340643982,0.00627026007055577,0.0223614936972373,0.166503943386478,1.6321407198321,0.0314323647333138,1.32218695474286,1.14959394582356,0.0181425540895555,0.00503773543739947,0.0274768871829291
0.403063427696187,0.00720664447820727,0.0337676975888411,0.146216821294416,1.42341829822339,0.0402911990035266,1.15325804970924,1.00291074653355,0.026803669532028,0.00916490488718042,0.0410324939165707
0.215447850984473,0.00321825955877544,0.0131717652001299,0.0779190790056856,0.769852757511249,0.0171749381499346,0.623416507931659,0.542056439678898,0.0105620717369533,0.00278112752893801,0.0162399285638476
0.231630504407627,0.00338191842789194,0.0129497091006577,0.0886446511219821,0.827461385931221,0.0178355296790975,0.671248951682116,0.584229773810752,0.0104411458084647,0.0026475976786225,0.0159917318123765
