"","vxtyp"
"6.9150598805041","baseline"
"0.0893869521680204","baseline"
"0.855242715280701","baseline"
"6.18209636745916","baseline"
"22.1616569355079","baseline"
"16.9009888769349","baseline"
"0.654399236619362","baseline"
"0.263202549594607","baseline"
"1.03012985187422","baseline"
"31.471374006032","PPI _ 0 _ 0 _ 5"
"0.531517691742962","PPI _ 0 _ 0 _ 5"
"9.68486426016426","PPI _ 0 _ 0 _ 5"
"28.6449251030468","PPI _ 0 _ 0 _ 5"
"90.3549874188659","PPI _ 0 _ 0 _ 5"
"70.0353384172069","PPI _ 0 _ 0 _ 5"
"7.28492512076751","PPI _ 0 _ 0 _ 5"
"5.61342629932274","PPI _ 0 _ 0 _ 5"
"10.887113669588","PPI _ 0 _ 0 _ 5"
"31.471374006032","PPI _ 0 _ 0 _ 10"
"0.531517691742962","PPI _ 0 _ 0 _ 10"
"9.68486426016426","PPI _ 0 _ 0 _ 10"
"28.6449251030468","PPI _ 0 _ 0 _ 10"
"90.3549874188659","PPI _ 0 _ 0 _ 10"
"70.0353384172069","PPI _ 0 _ 0 _ 10"
"7.2849251207675","PPI _ 0 _ 0 _ 10"
"5.61342629932274","PPI _ 0 _ 0 _ 10"
"10.887113669588","PPI _ 0 _ 0 _ 10"
"31.471374006032","PPI _ 0 _ 0 _ 100"
"0.531517691742962","PPI _ 0 _ 0 _ 100"
"9.68486426016426","PPI _ 0 _ 0 _ 100"
"28.6449251030468","PPI _ 0 _ 0 _ 100"
"90.3549874188659","PPI _ 0 _ 0 _ 100"
"70.035338417207","PPI _ 0 _ 0 _ 100"
"7.28492512076751","PPI _ 0 _ 0 _ 100"
"5.61342629932274","PPI _ 0 _ 0 _ 100"
"10.887113669588","PPI _ 0 _ 0 _ 100"
"22.8155594792393","PPI _ 0 _ 0.5 _ 5"
"0.330785860474356","PPI _ 0 _ 0.5 _ 5"
"5.59958103523458","PPI _ 0 _ 0.5 _ 5"
"20.2845607197479","PPI _ 0 _ 0.5 _ 5"
